player1,player2,winner,score1,score2,board,time
team12_A2_taboo_01,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,team12_A2_taboo_00,22,6,empty-2x3,0.3
greedy_player,team12_A2_taboo_00,team12_A2_taboo_00,5,20,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,greedy_player,7,18,empty-2x3,0.3
greedy_player,team12_A2_taboo_00,team12_A2_taboo_00,7,19,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,team12_A2_taboo_00,23,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_00,team12_A2_taboo_00,7,18,empty-2x3,0.3
team12_A2_taboo_00,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_00,team12_A2_taboo_00,4,24,empty-2x3,0.3
team12_A2_taboo_00,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_00,team12_A2_taboo_00,4,24,empty-2x3,0.3
team12_A2_taboo_00,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_00,team12_A2_taboo_00,4,24,empty-2x3,0.3
team12_A2_taboo_01,greedy_player,team12_A2_taboo_01,23,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_01,team12_A2_taboo_01,4,21,empty-2x3,0.3
team12_A2_taboo_01,greedy_player,team12_A2_taboo_01,18,7,empty-2x3,0.3
greedy_player,team12_A2_taboo_01,team12_A2_taboo_01,9,16,empty-2x3,0.3
team12_A2_taboo_01,greedy_player,team12_A2_taboo_01,23,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_01,greedy_player,16,10,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,team12_A2_taboo_00,22,6,empty-2x3,0.3
