player1,player2,winner,score1,score2,board,time
greedy_player,team12_A2_taboo_01,team12_A2_taboo_01,5,20,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_01,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_01,team12_A2_taboo_01,4,24,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,team12_A2_taboo_00,22,3,empty-2x3,0.3
greedy_player,team12_A2_taboo_00,team12_A2_taboo_00,5,23,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,team12_A2_taboo_00,24,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_00,team12_A2_taboo_00,8,20,empty-2x3,0.3
team12_A2_taboo_00,greedy_player,team12_A2_taboo_00,20,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_00,greedy_player,14,12,empty-2x3,0.3
team12_A2_taboo_00,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_00,team12_A2_taboo_00,4,24,empty-2x3,0.3
team12_A2_taboo_00,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_taboo_00,team12_A2_taboo_00,4,24,empty-2x3,0.3
team12_A2_taboo_00,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_00,team12_A2_taboo_00,4,24,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,24,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,5,20,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,21,6,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,5,21,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,greedy_player,10,15,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,6,19,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A2_taboo_11,30,3,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,7,21,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,22,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,6,21,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,greedy_player,11,14,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,5,20,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,18,7,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,5,20,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A2_taboo_10,29,3,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A2_taboo_10,30,3,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,22,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,7,19,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,20,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,7,18,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,15,10,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,greedy_player,17,8,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,18,7,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,6,19,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,22,6,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,5,21,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,20,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,5,23,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
