player1,player2,winner,score1,score2,board,time
greedy_player,team12_A2_filter_2_03,team12_A2_filter_2_03,9,28,empty-2x3,0.3
team12_A2_filter_2_03,greedy_player,team12_A2_filter_2_03,24,14,empty-2x3,0.3
greedy_player,team12_A2_filter_2_03,team12_A2_filter_2_03,16,19,empty-2x3,0.3
team12_A2_filter_2_03,greedy_player,team12_A2_filter_2_03,23,13,empty-2x3,0.3
greedy_player,team12_A2_filter_2_03,greedy_player,19,16,empty-2x3,0.3
team12_A2_filter_2_03,team12_A1,team12_A2_filter_2_03,33,8,empty-2x3,0.3
team12_A1,team12_A2_filter_2_03,team12_A2_filter_2_03,10,29,empty-2x3,0.3
team12_A2_filter_2_03,team12_A1,team12_A2_filter_2_03,34,8,empty-2x3,0.3
team12_A1,team12_A2_filter_2_03,team12_A2_filter_2_03,8,33,empty-2x3,0.3
team12_A2_filter_2_03,team12_A1,team12_A2_filter_2_03,38,7,empty-2x3,0.3
team12_A1,team12_A2_filter_2_03,team12_A2_filter_2_03,9,34,empty-2x3,0.3
team12_A2_filter_2_05,greedy_player,team12_A2_filter_2_05,19,17,empty-2x3,0.3
greedy_player,team12_A2_filter_2_05,greedy_player,23,12,empty-2x3,0.3
team12_A2_filter_2_05,greedy_player,team12_A2_filter_2_05,25,10,empty-2x3,0.3
greedy_player,team12_A2_filter_2_05,team12_A2_filter_2_05,8,27,empty-2x3,0.3
team12_A2_filter_2_05,greedy_player,team12_A2_filter_2_05,26,9,empty-2x3,0.3
greedy_player,team12_A2_filter_2_05,team12_A2_filter_2_05,7,30,empty-2x3,0.3
team12_A2_filter_2_05,team12_A1,team12_A2_filter_2_05,33,8,empty-2x3,0.3
team12_A1,team12_A2_filter_2_05,team12_A2_filter_2_05,9,28,empty-2x3,0.3
team12_A2_filter_2_05,team12_A1,team12_A2_filter_2_05,33,8,empty-2x3,0.3
team12_A1,team12_A2_filter_2_05,team12_A2_filter_2_05,9,32,empty-2x3,0.3
team12_A2_filter_2_05,team12_A1,team12_A2_filter_2_05,33,9,empty-2x3,0.3
team12_A1,team12_A2_filter_2_05,team12_A2_filter_2_05,8,34,empty-2x3,0.3
team12_A2_filter_1_01,greedy_player,greedy_player,13,23,empty-2x3,0.3
greedy_player,team12_A2_filter_1_01,greedy_player,19,17,empty-2x3,0.3
team12_A2_filter_1_01,greedy_player,greedy_player,13,23,empty-2x3,0.3
greedy_player,team12_A2_filter_1_01,greedy_player,19,16,empty-2x3,0.3
team12_A2_filter_1_01,greedy_player,team12_A2_filter_1_01,29,9,empty-2x3,0.3
greedy_player,team12_A2_filter_1_01,greedy_player,20,15,empty-2x3,0.3
team12_A2_filter_1_01,team12_A1,team12_A1,8,31,empty-2x3,0.3
team12_A1,team12_A2_filter_1_01,team12_A1,28,7,empty-2x3,0.3
team12_A2_filter_1_01,team12_A1,team12_A1,7,33,empty-2x3,0.3
team12_A1,team12_A2_filter_1_01,team12_A1,36,5,empty-2x3,0.3
team12_A2_filter_1_01,team12_A1,team12_A1,6,31,empty-2x3,0.3
team12_A1,team12_A2_filter_1_01,team12_A1,32,5,empty-2x3,0.3
team12_A2_filter_1_02,greedy_player,team12_A2_filter_1_02,27,10,empty-2x3,0.3
greedy_player,team12_A2_filter_1_02,greedy_player,20,16,empty-2x3,0.3
team12_A2_filter_1_02,greedy_player,greedy_player,10,25,empty-2x3,0.3
greedy_player,team12_A2_filter_1_02,team12_A2_filter_1_02,8,27,empty-2x3,0.3
team12_A2_filter_1_02,greedy_player,team12_A2_filter_1_02,20,16,empty-2x3,0.3
greedy_player,team12_A2_filter_1_02,greedy_player,20,15,empty-2x3,0.3
team12_A2_filter_1_02,team12_A1,team12_A2_filter_1_02,29,13,empty-2x3,0.3
team12_A1,team12_A2_filter_1_02,team12_A1,29,9,empty-2x3,0.3
team12_A2_filter_1_02,team12_A1,team12_A1,8,31,empty-2x3,0.3
team12_A1,team12_A2_filter_1_02,team12_A1,36,6,empty-2x3,0.3
team12_A2_filter_1_02,team12_A1,team12_A1,7,31,empty-2x3,0.3
team12_A1,team12_A2_filter_1_02,team12_A1,32,5,empty-2x3,0.3
team12_A2_filter_1_03,greedy_player,greedy_player,16,22,empty-2x3,0.3
greedy_player,team12_A2_filter_1_03,greedy_player,20,18,empty-2x3,0.3
team12_A2_filter_1_03,greedy_player,greedy_player,18,19,empty-2x3,0.3
greedy_player,team12_A2_filter_1_03,team12_A2_filter_1_03,19,21,empty-2x3,0.3
team12_A2_filter_1_03,greedy_player,greedy_player,14,22,empty-2x3,0.3
greedy_player,team12_A2_filter_1_03,greedy_player,25,12,empty-2x3,0.3
team12_A2_filter_1_03,team12_A1,team12_A1,7,34,empty-2x3,0.3
team12_A1,team12_A2_filter_1_03,team12_A1,37,5,empty-2x3,0.3
team12_A2_filter_1_03,team12_A1,team12_A1,11,29,empty-2x3,0.3
team12_A1,team12_A2_filter_1_03,team12_A1,29,9,empty-2x3,0.3
team12_A2_filter_1_03,team12_A1,team12_A2_filter_1_03,28,12,empty-2x3,0.3
team12_A1,team12_A2_filter_1_03,team12_A1,35,6,empty-2x3,0.3
team12_A2_filter_1_05,greedy_player,greedy_player,17,18,empty-2x3,0.3
greedy_player,team12_A2_filter_1_05,greedy_player,19,17,empty-2x3,0.3
team12_A2_filter_1_05,greedy_player,team12_A2_filter_1_05,20,16,empty-2x3,0.3
greedy_player,team12_A2_filter_1_05,greedy_player,20,15,empty-2x3,0.3
team12_A2_filter_1_05,greedy_player,team12_A2_filter_1_05,27,10,empty-2x3,0.3
greedy_player,team12_A2_filter_1_05,team12_A2_filter_1_05,9,26,empty-2x3,0.3
team12_A2_filter_1_05,team12_A1,team12_A1,7,33,empty-2x3,0.3
